id,title,point,level,solved,wrong,no,tags,open,wp,unknown_flag,url
200,[RoarCTF 2019]polyre,351,3.4,41,21,33,自定义逻辑|控制流平坦化|逆向,True,True,,https://www.nssctf.cn/problem/200
4614,[FSCTF 2023]ezcode,351,2.2,41,19,13,VMP|Python|RC4|REVERSE,True,False,,https://www.nssctf.cn/problem/4614
5378,[NSSRound#22 Basic]简简又单单,351,4.3,41,12,31,安卓逆向,True,True,,https://www.nssctf.cn/problem/5378
1113,[AFCTF 2018]简单编码,354,3.7,40,10,20,Python|逆向|python,True,False,,https://www.nssctf.cn/problem/1113
1183,[FBCTF 2019]Go get the flag!,354,2.4,40,59,21,逆向,True,False,,https://www.nssctf.cn/problem/1183
5194,[GHCTF 2024 新生赛]ezam,354,2.6,40,138,19,REVERSE,True,False,,https://www.nssctf.cn/problem/5194
5791,[羊城杯 2024]你这主函数保真么,354,3.5,40,54,49,自定义逻辑|C++|C|算法分析|REVERSE,True,False,,https://www.nssctf.cn/problem/5791
7075,[Reisen]NSSCTF2025入门题目-Vm~,354,3.4,40,14,29,逆向技术|C|VM,True,True,,https://www.nssctf.cn/problem/7075
7310,[SWPUCTF 2025 秋季新生赛]Ultimate Packer for eXecutables,354,3.2,40,10,37,UPX壳|脱壳|逆向技术|XOR|REVERSE,True,False,,https://www.nssctf.cn/problem/7310
630,[广东强网杯 2021 团队组]simplere,357,2.7,39,59,24,Base64|迷宫|动态调试|逆向,True,False,,https://www.nssctf.cn/problem/630
6409,[NSSRound#27 Basic]EzCpp,357,3.2,39,57,23,逆向技术,True,True,,https://www.nssctf.cn/problem/6409
1128,[MTCTF 2021]wow,360,3.8,38,16,38,逆向|XXTEA,True,False,,https://www.nssctf.cn/problem/1128
1886,[HGAME 2022 week4]ezvm,360,3.6,38,14,34,VM|动态调试|C|Reverse|vm,True,False,,https://www.nssctf.cn/problem/1886
3389,[MoeCTF 2021]ez_Algorithm,363,2.1,37,15,12,REVERSE|算法分析|递推,True,False,,https://www.nssctf.cn/problem/3389
4576,[香山杯 2023]URL从哪儿来,363,2.7,37,28,23,动态调试|REVERSE,True,False,,https://www.nssctf.cn/problem/4576
4612,[FSCTF 2023]ezbroke,363,2.9,37,21,15,VM|逆向技术|脱壳|UPX壳|REVERSE,True,False,,https://www.nssctf.cn/problem/4612
5825,[SWPU 2024 新生引导]ZIP,363,2.6,37,70,44,UPX壳|C|REVERSE,True,False,,https://www.nssctf.cn/problem/5825
5937,[SWPUCTF 2024 秋季新生赛]这也是py！？,363,2.6,37,14,16,Python|REVERSE,True,False,,https://www.nssctf.cn/problem/5937
2527,[NSSRound#V Team]untouchable,366,2.9,36,11,23,动态调试|RC4|REVERSE|patch,True,False,,https://www.nssctf.cn/problem/2527
5210,[yj233]ezdbg,366,2.9,36,28,27,脱壳|逆向技术|反调试|花指令|动态调试,True,True,,https://www.nssctf.cn/problem/5210
3446,[西湖论剑 2022]BabyRE,369,3.8,35,28,23,Reverse|rc4|sha1|反调试|init,True,False,,https://www.nssctf.cn/problem/3446
4613,[FSCTF 2023]rrrrust!!!,369,2.8,35,25,23,Rust|REVERSE,True,False,,https://www.nssctf.cn/problem/4613
6527,[GHCTF 2025]LockedSecret,369,3.1,35,13,79,UPX壳|TEA|REVERSE,True,True,,https://www.nssctf.cn/problem/6527
3029,[HNCTF 2022 WEEK3]CM2,372,2.3,34,3,22,动态调试|RE|QT,True,False,,https://www.nssctf.cn/problem/3029
5191,[GHCTF 2024 新生赛].?.s.?,375,2.6,33,7,21,ASM|XOR|REVERSE,True,False,,https://www.nssctf.cn/problem/5191
5930,[SWPUCTF 2024 秋季新生赛]md5也能爆破？,375,3.9,33,38,59,算法分析,True,False,,https://www.nssctf.cn/problem/5930
6813,[LitCTF 2025]pickle,375,3.4,33,5,48,Python|bytecode|自定义逻辑,True,False,,https://www.nssctf.cn/problem/6813
7084,[Reisen]NSSCTF2025入门题目-Maze,375,3.8,33,116,35,迷宫|C,True,True,,https://www.nssctf.cn/problem/7084
1414,[羊城杯 2020]babyre,378,3.0,32,12,32,SMC|RC4|DFS|Reverse|AES,True,False,,https://www.nssctf.cn/problem/1414
